8.94410822706e+16	1.44900206803e-12	8.94410822706e+16	8.94410822706e+16	1.08555618525	1.05129534883	
1.66607464859e+17	1.39111038869e-12	1.66607464859e+17	1.66607464859e+17	1.04851061676	1.0285231068	
2.09076796228e+17	1.13635854073e-12	2.09076796228e+17	2.09076796228e+17	1.06280070249	1.05372793857	
2.47015893705e+17	1.26269640821e-12	2.47015893705e+17	2.47015893705e+17	1.05111897107	1.06543866481	
3.02548721538e+17	1.08915565696e-12	3.02548721538e+17	3.02548721538e+17	1.04782099891	1.04880924959	
3.80969592697e+17	1.05475204067e-12	3.80969592697e+17	3.80969592697e+17	1.04191725941	1.05475204067	
5.30056479174e+17	9.45472065287e-13	5.30056479174e+17	5.30056479174e+17	1.03789776537	1.05883680695	
8.39354745571e+17	7.53647308168e-13	8.39354745571e+17	8.39354745571e+17	1.01877375707	1.0585445388	
1.29980963948e+18	8.12211668657e-13	1.29980963948e+18	1.29980963948e+18	1.09938662123	1.14080182717	
2.434465205e+18	4.49783125715e-13	2.434465205e+18	2.434465205e+18	1.33562754302	1.62323054873
