16.9515370457	-10.8389309947	16.2917542814	16.088558858	-11.9066795825	-12.1505777507
17.2216944561	-10.8566384061	16.3376078763	16.2300374048	-12.1708016099	-12.4136556327
17.3203058366	-10.9444846196	16.3290417821	16.3162196741	-12.1465201186	-12.2370129366
17.3927248979	-10.8987010549	16.4285570491	15.9946920211	-12.1901189506	-12.1103950779
17.4807953221	-10.9629100485	16.3600831293	16.45798415	-12.2832914043	-12.295104426
17.5808903136	-10.9768496257	16.4588268904	16.6627970441	-12.3544567451	-12.2615996886
17.7243221475	-11.0243512982	17.0767319978	16.9824802571	-12.4457376954	-12.279531233
17.9239455502	-11.1228318477	17.2058679006	17.2786921417	-12.8492806521	-12.3800545943
18.1138797534	-11.0903307755	17.6314603502	17.5826697056	-12.0930028486	-11.998932693
18.3864035717	-11.3469968418	17.4828084765	17.8170268245	-11.8211392482	-11.7627283163
